,Epoch,nData,att_time,pur_time,clf_time,std_acc,att_acc,pur_acc_l,pur_acc_s,pur_acc_o,pur_acc_list_l,pur_acc_list_s,pur_acc_list_o,count_att,count_diff
38,39,100,451.175887,41.30734,0.81599,98.0,4.0,40.0,41.0,41.0,[43. 43. 41. 40. 43. 41. 42. 40. 40. 40.],[43. 43. 42. 40. 41. 42. 43. 41. 42. 41.],[43. 44. 43. 41. 42. 41. 43. 41. 42. 41.],60,0
39,40,100,449.097504,41.099116,0.81488,95.0,6.0,32.0,31.0,32.0,[33. 35. 37. 34. 35. 33. 32. 32. 32. 32.],[33. 35. 35. 35. 35. 34. 33. 33. 31. 31.],[33. 34. 33. 33. 32. 31. 32. 31. 31. 32.],65,3
40,41,100,447.570456,41.290958,0.814965,95.0,4.0,34.0,35.0,34.0,[38. 40. 36. 34. 34. 34. 34. 34. 34. 34.],[38. 39. 35. 36. 35. 35. 34. 35. 34. 35.],[38. 35. 35. 33. 35. 34. 34. 33. 34. 34.],66,0
41,42,100,453.051472,41.483156,0.815788,94.0,5.0,34.0,34.0,38.0,[32. 31. 33. 32. 32. 35. 34. 33. 34. 34.],[32. 31. 33. 33. 32. 35. 35. 33. 32. 34.],[32. 33. 32. 36. 32. 35. 36. 36. 34. 38.],65,1
42,43,100,452.429254,41.381371,0.815075,99.0,3.0,43.0,42.0,44.0,[39. 38. 39. 41. 39. 40. 40. 44. 41. 43.],[39. 38. 38. 41. 41. 41. 39. 43. 42. 42.],[39. 43. 38. 40. 41. 42. 42. 44. 43. 44.],57,0
43,44,100,454.847765,42.358971,0.816547,97.0,2.0,42.0,39.0,42.0,[39. 40. 41. 41. 41. 41. 41. 42. 41. 42.],[39. 40. 42. 40. 40. 40. 40. 39. 41. 39.],[39. 42. 42. 43. 40. 41. 40. 41. 42. 42.],57,1
44,45,100,463.612531,42.667861,0.81847,96.0,4.0,33.0,33.0,31.0,[32. 30. 33. 30. 32. 31. 32. 32. 33. 33.],[32. 30. 32. 30. 31. 31. 31. 32. 32. 33.],[32. 34. 32. 31. 31. 31. 31. 33. 32. 31.],67,0
45,46,100,456.105077,41.133319,0.816171,98.0,2.0,26.0,28.0,30.0,[29. 25. 27. 27. 26. 26. 27. 27. 26. 26.],[29. 25. 26. 27. 29. 26. 27. 28. 28. 28.],[29. 25. 26. 29. 28. 28. 28. 30. 29. 30.],73,1
46,47,100,447.29106,41.121985,0.815553,95.0,8.0,39.0,39.0,38.0,[45. 42. 38. 38. 40. 38. 37. 38. 39. 39.],[45. 42. 37. 36. 39. 38. 37. 37. 39. 39.],[45. 45. 38. 38. 39. 38. 37. 38. 39. 38.],61,0
47,48,100,448.530074,41.226263,0.816134,92.0,3.0,36.0,36.0,36.0,[37. 38. 35. 35. 35. 35. 35. 35. 36. 36.],[37. 38. 34. 35. 35. 35. 36. 36. 36. 36.],[37. 36. 36. 36. 35. 35. 36. 36. 36. 36.],64,0
48,49,100,462.244541,46.298267,0.937481,98.0,5.0,31.0,31.0,32.0,[32. 33. 33. 32. 32. 31. 32. 32. 31. 31.],[32. 33. 32. 33. 32. 32. 31. 31. 32. 31.],[32. 35. 32. 31. 30. 31. 31. 32. 31. 32.],69,0
49,50,100,501.415174,46.258338,0.845194,92.0,5.0,30.0,30.0,30.0,[28. 30. 29. 29. 28. 29. 30. 28. 28. 30.],[28. 30. 29. 29. 30. 30. 30. 29. 30. 30.],[28. 31. 28. 30. 30. 30. 29. 30. 31. 30.],70,0
50,51,100,462.73592,41.120226,0.815866,97.0,4.0,30.0,31.0,31.0,[29. 31. 32. 28. 30. 30. 31. 30. 30. 30.],[29. 31. 30. 28. 31. 29. 31. 30. 31. 31.],[29. 32. 29. 28. 31. 29. 31. 30. 32. 31.],69,1
51,52,100,447.051021,41.123269,0.816164,96.0,4.0,28.0,28.0,30.0,[30. 29. 27. 28. 30. 29. 28. 28. 28. 28.],[30. 29. 28. 28. 30. 30. 29. 28. 28. 28.],[30. 29. 28. 30. 30. 29. 30. 30. 29. 30.],72,0
52,53,100,446.94621,41.038959,0.815236,97.0,4.0,32.0,31.0,32.0,[32. 30. 31. 32. 32. 32. 32. 31. 31. 32.],[32. 30. 31. 33. 31. 32. 31. 31. 30. 31.],[32. 33. 31. 30. 31. 33. 32. 32. 30. 32.],68,0
53,54,100,446.351443,41.039215,0.814731,98.0,5.0,37.0,39.0,40.0,[36. 39. 36. 39. 37. 37. 37. 38. 37. 37.],[36. 39. 35. 41. 40. 39. 37. 40. 38. 39.],[36. 40. 37. 41. 39. 41. 39. 40. 40. 40.],63,0
54,55,100,446.167687,41.027243,0.814686,93.0,6.0,30.0,32.0,32.0,[35. 36. 36. 33. 31. 31. 32. 32. 30. 30.],[35. 36. 38. 35. 32. 31. 33. 32. 33. 32.],[35. 34. 36. 31. 31. 31. 32. 31. 33. 32.],69,1
55,56,100,446.00136,41.033803,0.815302,97.0,2.0,32.0,29.0,32.0,[31. 33. 30. 30. 31. 30. 32. 30. 30. 32.],[31. 33. 32. 33. 32. 31. 32. 29. 30. 29.],[31. 33. 31. 29. 33. 31. 33. 32. 32. 32.],67,1
56,57,100,448.011716,41.198305,0.815739,94.0,2.0,25.0,25.0,25.0,[32. 27. 26. 27. 26. 28. 26. 25. 25. 25.],[32. 26. 30. 29. 28. 28. 29. 26. 26. 25.],[32. 28. 28. 30. 27. 27. 28. 26. 25. 25.],75,0
57,58,100,456.060561,41.579898,0.824318,98.0,4.0,36.0,37.0,39.0,[38. 38. 35. 37. 34. 34. 34. 36. 36. 36.],[38. 38. 37. 38. 35. 34. 34. 37. 38. 37.],[38. 37. 39. 38. 37. 36. 38. 38. 39. 39.],64,0
58,59,100,454.805539,41.101517,0.815778,96.0,3.0,26.0,25.0,25.0,[29. 26. 27. 27. 25. 25. 26. 26. 25. 26.],[29. 26. 27. 26. 27. 25. 26. 26. 26. 25.],[29. 26. 26. 26. 27. 25. 25. 25. 25. 25.],74,0
59,60,100,447.507759,41.099708,0.815905,98.0,1.0,38.0,38.0,36.0,[37. 37. 36. 40. 38. 37. 37. 38. 37. 38.],[37. 37. 37. 40. 38. 37. 37. 37. 37. 38.],[37. 31. 37. 36. 38. 34. 37. 35. 36. 36.],61,1
60,61,100,451.135653,41.885482,0.824911,94.0,4.0,26.0,26.0,24.0,[27. 28. 27. 27. 26. 27. 27. 26. 26. 26.],[27. 29. 28. 28. 27. 27. 26. 27. 27. 26.],[27. 29. 27. 26. 27. 28. 27. 24. 26. 24.],73,1
61,62,100,453.208318,41.098994,0.816216,96.0,8.0,35.0,35.0,35.0,[36. 33. 34. 35. 36. 35. 34. 35. 35. 35.],[36. 34. 35. 37. 37. 35. 34. 35. 35. 35.],[36. 35. 35. 36. 38. 36. 34. 34. 34. 35.],65,0
62,63,100,447.259453,41.278927,0.817013,95.0,4.0,35.0,36.0,37.0,[36. 34. 34. 37. 36. 36. 35. 35. 36. 35.],[36. 34. 35. 37. 36. 36. 36. 36. 36. 36.],[36. 37. 36. 34. 36. 36. 36. 36. 36. 37.],65,0
